ID,Destination,Notes,Country Code,Country No,Type of data (a),1990,Male_1990,Female_1990,1995,Male_1995,Female_1995,2000,Male_2000,Female_2000,2005,Male_2005,Female_2005,2010,Male_2010,Female_2010,2015,Male_2015,Female_2015
42,Libya,,LBY,434,C,457075,242707,214368,508041,300906,207135,567436,368950,198486,625212,445597,179615,683998,489737,194261,771146,549153,221993
43,Morocco,,MAR,504,C,54895,29024,25871,50360,26264,24096,53034,27233,25801,54379,27543,26836,70909,35738,35171,88511,44390,44121
44,Sudan,-3,SDN,729,B R,1402896,696385,706511,1053396,525701,527695,801883,403048,398835,541994,275915,266079,578363,294782,283581,503477,254530,248947
45,Tunisia,,TUN,788,C,37984,18900,19084,37867,19045,18822,36446,18523,17923,35040,18000,17040,43172,22236,20936,56701,29351,27350
46,Western Sahara,,ESH,732,I,2688,1465,1223,2989,1651,1338,3289,1837,1452,3891,2224,1667,4493,2612,1881,5179,3059,2120
48,Botswana,,BWA,72,C,27510,16614,10896,40168,23517,16651,57064,32891,24173,88829,49695,39134,120912,66692,54220,160644,87873,72771
49,Lesotho,,LSO,426,C R,8240,4318,3922,7204,3827,3377,6167,3335,2832,6290,3402,2888,6414,3469,2945,6572,3558,3014
50,Namibia,,NAM,516,B,120641,63748,56893,115372,61310,54062,134403,72509,61894,106274,57034,49240,102405,55054,47351,93888,50687,43201
51,South Africa,,ZAF,710,B R,1163883,717227,446656,1003807,611083,392724,1001825,600032,401793,1210936,712219,498717,1943099,1135886,807213,3142511,1882276,1260235
52,Swaziland,,SWZ,748,B R,72085,38992,33093,25031,14457,10574,22855,13047,9808,27097,14721,12376,30476,15856,14620,31579,16348,15231
54,Benin,,BEN,204,C B R,76212,40092,36120,104971,55858,49113,133730,71624,62106,171499,93882,77617,209267,116139,93128,245399,137662,107737
55,Burkina Faso,,BFA,854,B R,349657,167836,181821,434848,209117,225731,520039,250399,269640,596972,285542,311430,673904,320684,353220,704676,335328,369348
56,Cabo Verde,,CPV,132,B,8931,4429,4502,9979,5091,4888,11027,5753,5274,12700,6523,6177,14373,7293,7080,14924,7547,7377
57,Côte d'Ivoire,,CIV,384,C B,1816426,1011749,804677,2076394,1150710,925684,1994135,1104600,889535,2010824,1113590,897234,2095185,1160366,934819,2175399,1204616,970783
58,Gambia,,GMB,270,B,118123,66306,51817,150890,82048,68842,182514,97138,85376,181905,96230,85675,185763,98086,87677,192540,101501,91039
59,Ghana,,GHA,288,B,164851,83030,81821,252879,127423,125456,191601,97279,94322,304436,159363,145073,337017,181558,155459,399471,217444,182027
60,Guinea,,GIN,324,C R,403621,201260,202361,774505,386537,387968,560075,279108,280967,229611,111738,117873,205111,100953,104158,228413,112583,115830
61,Guinea-Bissau,,GNB,624,B R,15368,7689,7679,27961,13833,14128,20450,10155,10295,20736,10298,10438,21061,10307,10754,22333,10826,11507
62,Liberia,,LBR,430,B,94964,53924,41040,208563,111647,96916,151868,82129,69739,87188,51183,36005,99129,56885,42244,113779,64879,48900
63,Mali,,MLI,466,B R,160736,82049,78687,176187,90871,85316,189475,97752,91723,256797,132244,124553,336607,172879,163728,363145,186111,177034
64,Mauritania,,MRT,478,C R,111650,57569,54081,89562,47015,42547,57366,31163,26203,58119,32588,25531,84679,48605,36074,138162,80230,57932
65,Niger,,NER,562,B R,115464,55222,60242,145999,69751,76248,122260,58192,64068,124461,59170,65291,126464,60033,66431,189255,89731,99524
66,Nigeria,,NGA,566,C R,456621,256166,200455,462999,258091,204908,487882,270211,217671,648019,357751,290268,920118,506367,413751,1199115,657887,541228
67,Saint Helena,-4,SHN,654,B,383,222,161,394,218,176,405,215,190,487,263,224,569,312,257,604,335,269
68,Senegal,,SEN,686,B R,270410,138840,131570,287654,147165,140489,231901,121492,110409,238298,124854,113444,256092,135879,120213,263242,139689,123553
69,Sierra Leone,,SLE,694,B R,222242,123053,99189,105374,59683,45691,98241,54639,43602,149615,79638,69977,97452,53239,44213,91213,49962,41251
70,Togo,,TGO,768,C R,84844,42903,41941,101583,50727,50856,137891,69081,68810,203379,102877,100502,255262,129280,125982,276844,139298,137546
73,Kazakhstan,,KAZ,398,B,3619200,1666164,1953036,3245250,1494009,1751241,2871300,1321855,1549445,3102962,1473441,1629521,3334623,1625026,1709597,3546778,1758182,1788596
74,Kyrgyzstan,,KGZ,417,B,623083,260416,362667,510296,213277,297019,389558,162815,226743,312897,129544,183353,231511,94348,137163,204382,82616,121766
75,Tajikistan,,TJK,762,B,428900,188128,240772,348347,151957,196390,299266,131420,167846,280444,121381,159063,278152,120124,158028,275059,118597,156462
76,Turkmenistan,,TKM,795,B,306500,134174,172326,273565,118851,154714,218498,94168,124330,213051,94406,118645,197979,90600,107379,196386,91523,104863
77,Uzbekistan,,UZB,860,B,1653000,723618,929382,1512577,657490,855087,1405250,605625,799625,1329345,589437,739908,1220149,558379,661770,1170899,545734,625165
79,China,-5,CHN,156,C,376361,191954,184407,442198,223018,219180,508034,254082,253952,678947,379920,299027,849861,505758,344103,978046,600136,377910
80,"China, Hong Kong Special Administrative Region",-6,HKG,344,B,2218473,1124544,1093929,2443798,1175087,1268711,2669122,1225629,1443493,2721235,1185121,1536114,2779950,1147539,1632411,2838665,1119957,1718708
81,"China, Macao Special Administrative Region",-7,MAC,446,B,205047,96379,108668,224929,103660,121269,240791,109391,131400,279308,130387,148921,318506,146407,172099,342703,155692,187011
82,Democratic People's Republic of Korea,,PRK,408,I,34103,17393,16710,35143,17562,17581,36183,17731,18452,40097,19749,20348,44010,21766,22244,48458,24110,24348
83,Japan,,JPN,392,C,1075626,547986,527640,1381097,672482,708615,1686567,796977,889590,2012916,924544,1088372,2134151,959860,1174291,2043877,919259,1124618
84,Mongolia,,MNG,496,C,6718,3419,3299,7424,3959,3465,8206,4564,3642,11475,7576,3899,16061,11880,4181,17620,12857,4763
85,Republic of Korea,,KOR,410,C,43017,24211,18806,123886,70758,53128,244178,143181,100997,485546,284034,201512,919275,525031,394244,1327324,744777,582547
87,Brunei Darussalam,,BRN,96,B,73200,41856,31344,84748,47832,36916,96296,53807,42489,98441,55265,43176,100587,56723,43864,102733,58181,44552
88,Cambodia,,KHM,116,B,38375,19084,19291,92230,45361,46869,146085,71638,74447,114031,57511,56520,81977,43385,38592,73963,39854,34109
89,Indonesia,,IDN,360,B R,465612,229885,235727,378960,191600,187360,292307,153315,138992,289568,165493,124075,305416,174864,130552,328846,189800,139046
90,Lao People's Democratic Republic,,LAO,418,C R,22866,11806,11060,23526,12199,11327,21948,11564,10384,20371,10930,9441,21185,11367,9818,22244,11936,10308
91,Malaysia,-8,MYS,458,C R,695920,405808,290112,937368,534964,402404,1277223,712912,564311,1722344,995607,726737,2406011,1437206,968805,2514243,1529630,984613
92,Myanmar,,MMR,104,C,133545,72310,61235,113663,61489,52174,98011,52150,45861,83025,44506,38519,76414,41574,34840,73308,40177,33131
93,Philippines,,PHL,608,C R,154071,81347,72724,207345,107524,99821,318095,161904,156191,257468,133023,124445,208599,107933,100666,211862,109783,102079
94,Singapore,,SGP,702,B,727262,345842,381420,991492,456411,535081,1351691,601671,750020,1710594,758762,951832,2164794,956856,1207938,2543638,1122986,1420652
95,Thailand,,THA,764,B R,528693,283486,245207,809720,426290,383430,1257821,647728,610093,2163447,1086166,1077281,3224131,1624755,1599376,3913258,1967491,1945767
96,Timor-Leste,,TLS,626,B,8954,4450,4504,9743,4763,4980,10602,5095,5507,11286,5582,5704,10983,6441,4542,10834,6383,4451
97,Viet Nam,,VNM,704,C R,28118,15230,12888,51262,28187,23075,56754,32825,23929,51768,31106,20662,61756,35971,25785,72793,42168,30625
99,Afghanistan,,AFG,4,B,57686,32558,25128,71522,39105,32417,75917,42848,33069,87300,49274,38026,102246,57709,44537,382365,193445,188920
100,Bangladesh,,BGD,50,B R,881617,759452,122165,934735,805196,129539,987853,850941,136912,1166700,1007698,159002,1345546,1164455,181091,1422805,1233206,189599
101,Bhutan,,BTN,64,B,23807,19409,4398,27972,22804,5168,32137,26200,5937,40279,32742,7537,48420,39283,9137,51106,41441,9665
102,India,,IND,356,B R,7493204,3914396,3578808,6952238,3608978,3343260,6411272,3303560,3107712,5923642,3045693,2877949,5436012,2787826,2648186,5240960,2684680,2556280
103,Iran (Islamic Republic of),,IRN,364,B R,4291601,2456700,1834901,2937668,1705972,1231696,2803805,1662264,1141541,2568930,1410319,1158611,2761561,1571723,1189838,2726420,1445236,1281184
104,Maldives,,MDV,462,C R,8689,4777,3912,18510,9243,9267,27092,14907,12185,45045,27079,17966,73604,47995,25609,94086,66140,27946
105,Nepal,,NPL,524,B R,429974,125966,304008,690225,217088,473137,717900,241959,475941,679457,235203,444254,578657,189518,389139,518278,160851,357427
106,Pakistan,,PAK,586,B R,6208204,3264380,2943824,3669308,1951223,1718085,4181912,2249960,1931952,3171132,1708514,1462618,3941586,2074443,1867143,3628956,1854136,1774820
107,Sri Lanka,,LKA,144,B R,41561,23423,18138,40841,22689,18152,40132,21971,18161,39526,21318,18208,38959,20694,18265,38706,20245,18461
109,Armenia,,ARM,51,B R,658789,270535,388254,693999,284995,409004,657900,270170,387730,469119,191401,277718,221560,90345,131215,191199,77436,113763
110,Azerbaijan,-9,AZE,31,B R,360600,157856,202744,344070,149509,194561,327540,141161,186379,302220,135336,166884,276901,129512,147389,264241,126600,137641
111,Bahrain,,BHR,48,C,173212,122730,50482,205979,144227,61752,239361,165344,74017,404018,288614,115404,657856,475905,181951,704137,508966,195171
112,Cyprus,-10,CYP,196,B,43805,20463,23342,61941,27604,34337,80076,34745,45331,117165,50421,66744,187923,82284,105639,196167,86980,109187
113,Georgia,-11,GEO,268,B,338300,148094,190206,278450,121152,157298,218600,94211,124389,199805,86123,113682,182202,78548,103654,168802,72861,95941
114,Iraq,,IRQ,368,C R,83638,55751,27887,199460,114821,84639,210525,120464,90061,132915,80883,52032,117389,72965,44424,353881,207133,146748
115,Israel,,ISR,376,B R,1632704,770777,861927,1792185,830330,961855,1851309,853712,997597,1889503,867805,1021698,1950615,890352,1060263,2011727,912899,1098828
